""	"LABNR"	"MATERIAL"	"SPECIES"	"SITE"	"PERIOD"	"CULTURE"	"LATITUDE"	"LONGITUDE"	"METHOD"	"CALAGE"	"CALSTD"	"REFERENCE"	"SIMPERIOD"	"SIMMATERIAL"	"OFFSET"	"COLOR"	"PARTNERAGE"
"Ditfurt 2.Ditfurt 21"	"Bln-4209"	"charcoal"	"nd"	"Ditfurt 2"	"Neolithic"	"Bernburg"	51.8333	4.1316	"14C"	5240	140	"Müller 1992, 224"	"neolithic"	"charcoal"	0.05	"#3058e5"	5240
"Divostin.Divostin"	"Bln-899"	"nd"	"nd"	"Divostin"	"Neolithic"	"Starčevo"	44.0333	20.8333	"14C"	8040	100	"Tasić  1988"	"neolithic"	"unknown"	-0.05	"#990033"	6040
"Divostin.Divostin1"	"Bln-867"	"charcoal"	"nd"	"Divostin"	"Neolithic"	"Vinča "	44.0333	20.8333	"14C"	6040	120	"Tasić  1989"	"neolithic"	"charcoal"	0.05	"#3058e5"	8040
"Divshon.Divshon"	"SMU-3"	"charcoal"	"nd"	"Divshon"	"Neolithic"	"PPNB"	30.84	34.78	"14C"	9960	240	"Haynes and Haas 1974, 379"	"neolithic"	"charcoal"	-0.05	"#990033"	9080
"Divshon.Divshon1"	"Tx-1123"	"charcoal"	"nd"	"Divshon"	"Neolithic"	"PPNB"	30.84	34.78	"14C"	9080	260	"Valastro et al. 1972, 484"	"neolithic"	"charcoal"	0.05	"#3058e5"	9960
"Djade.Djade"	"Ly-5821"	"charcoal"	"nd"	"Djade"	"PPN"	"EPPNB"	36.65	38.18	"14C"	10930	230	"--"	"neolithic"	"charcoal"	-0.05	"#990033"	10080
"Djade.Djade1"	"Ly-6166"	"charcoal"	"nd"	"Djade"	"PPN"	"EPPNB"	36.65	38.18	"14C"	10080	150	"--"	"neolithic"	"charcoal"	0.05	"#3058e5"	10930
"Djadovo.Djadovo"	"Bln-3867"	"charcoal"	"nd"	"Djadovo"	"Bronze Age"	"Early Bronze Age"	42.4333	26.0166	"14C"	5050	140	"Görsdorf 1996"	"bronzeage"	"charcoal"	-0.05	"#990033"	4410
"Djadovo.Djadovo1"	"Bln-3869"	"grain"	"nd"	"Djadovo"	"Bronze Age"	"Early Bronze Age"	42.4333	26.0166	"14C"	4410	100	"Görsdorf 1996"	"bronzeage"	"other"	0.05	"#3058e5"	5050
"Djakovo.Djakovo"	"Bln-2610"	"charcoal"	"nd"	"Djakovo"	"Chalcolithic"	"Late Eneolithic"	42.3333	23.1166	"14C"	6430	100	"Görsdorf 1996"	"chalcolithic"	"charcoal"	-0.05	"#990033"	6430
"Djakovo.Djakovo1"	"Bln-2610"	"charcoal"	"nd"	"Djakovo"	"Chalcolithic"	"Late Eneolithic"	42.3333	23.1166	"14C"	6430	100	"Görsdorf 1996"	"chalcolithic"	"charcoal"	0.05	"#3058e5"	6430
"Dobl.Dobl"	"GrN-7799"	"charcoal"	"nd"	"Dobl"	"Neolithic"	"Cham"	47.8918	12.1485	"14C"	4760	100	"Burger 1988, 281"	"neolithic"	"charcoal"	-0.05	"#990033"	4690
"Dobl.Dobl1"	"GrN-7798"	"charcoal"	"nd"	"Dobl"	"Neolithic"	"Cham"	47.8918	12.1485	"14C"	4690	100	"Burger 1988, 281"	"neolithic"	"charcoal"	0.05	"#3058e5"	4760
"Dobrinisce.Dobrinisce"	"Bln-3785"	"charcoal"	"nd"	"Dobrinisce"	"Neolithic"	"Early Neolithic"	41.83	23.56	"14C"	7530	50	"Görsdorf 1996"	"neolithic"	"charcoal"	-0.05	"#990033"	7510
"Dobrinisce.Dobrinisce1"	"Bln-3786"	"charcoal"	"nd"	"Dobrinisce"	"Neolithic"	"Early Neolithic"	41.83	23.56	"14C"	7510	50	"Görsdorf 1996"	"neolithic"	"charcoal"	0.05	"#3058e5"	7530
"Dok.Dok"	"KIK-333 / UtC-3439"	"charcoal"	"hazelnut"	"Dok"	"Epipalaeolithic"	"Beuronian C"	50.9519	4.0461	"14C"	10350	110	"Van Strydonck e.a., 1998"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8500
"Dok.Dok1"	"KIK-338 / UtC-3443"	"charcoal"	"nd"	"Dok"	"Epipalaeolithic"	"nd"	51.2553	4.1883	"14C"	8500	90	"Van Strydonck e.a., 1998"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	10350
"Dokkum-Jantjeszeepolder.Dokkum-Jantjeszeepolder"	"GrN-12417"	"charcoal"	"nd"	"Dokkum-Jantjeszeepolder"	"Epipalaeolithic"	"nd"	53.3189	6.0161	"14C"	9160	90	"Lanting/vanderPlicht 1997/1998"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8270
"Dokkum-Jantjeszeepolder.Dokkum-Jantjeszeepolder1"	"GrN-12418"	"charcoal"	"nd"	"Dokkum-Jantjeszeepolder"	"Epipalaeolithic"	"nd"	53.3189	6.0161	"14C"	8270	60	"Lanting/vanderPlicht 1997/1998"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	9160
"Dolmen of Antelas.Dolmen of Antelas"	"OxA-5496"	"charcoal"	"nd"	"Dolmen of Antelas"	"nd"	"nd"	40.7	-8.2333	"14C"	6110	90	"Oxford Datelist"	"other"	"charcoal"	-0.05	"#990033"	5410
"Dolmen of Antelas.Dolmen of Antelas1"	"OxA-5433"	"charcoal"	"nd"	"Dolmen of Antelas"	"nd"	"nd"	40.7	-8.2333	"14C"	5410	80	"Oxford Datelist"	"other"	"charcoal"	0.05	"#3058e5"	6110
"Domerarve.Domerarve"	"St-9467"	"charcoal"	"nd"	"Domerarve"	"Neolithic"	"nd"	57.1741	18.2575	"14C"	5450	150	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	5070
"Domerarve.Domerarve1"	"St-9469"	"charcoal"	"nd"	"Domerarve"	"Neolithic"	"Trichterbecher-North Group"	57.1741	18.2575	"14C"	5070	180	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	5450
"Donderen.Donderen"	"GrN-206"	"charcoal"	"nd"	"Donderen"	"nd"	"Hamburgian ?"	53.0999	6.55	"14C"	8440	140	""	"other"	"charcoal"	-0.05	"#990033"	7790
"Donderen.Donderen1"	"GrN-152"	"charcoal"	"nd"	"Donderen"	"nd"	"Hamburgian"	53.0999	6.55	"14C"	7790	140	"Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125."	"other"	"charcoal"	0.05	"#3058e5"	8440
"Donja Branjevina.Donja Branjevina"	"GrN-15974"	"bone"	"nd"	"Donja Branjevina"	"Neolithic"	"Starčevo"	45.3803	19.2332	"14C"	7980	40	"Biagi 2005"	"neolithic"	"bone"	-0.05	"#990033"	7630
"Donja Branjevina.Donja Branjevina1"	"OxA-8556"	"bone"	"nd"	"Donja Branjevina"	"Neolithic"	"Starčevo"	45.3803	19.2332	"14C"	7630	50	"Biagi 2005"	"neolithic"	"bone"	0.05	"#3058e5"	7980
"Donk.Donk"	"IRPA-743"	"organic"	"nd"	"Donk"	"Neolithic"	"Michelsberg"	50.8428	3.6039	"14C"	6040	100	"Dauchot-Dehon & Van Strydonck, 1989"	"neolithic"	"other"	-0.05	"#990033"	3330
"Donk.Donk1"	"IRPA-746"	"veen"	"nd"	"Donk"	"Neolithic"	"Michelsberg"	50.8428	3.6039	"14C"	3330	80	"Dauchot-Dehon & Van Strydonck, 1989"	"neolithic"	"other"	0.05	"#3058e5"	6040
"Donkerbroek.Donkerbroek"	"GrA-16239"	"bone"	"red deer"	"Donkerbroek"	"Epipalaeolithic"	"nd"	52.9906	6.2161	"14C"	10300	90	"Niekus 2005/2006"	"epipalaeolithic"	"bone"	-0.05	"#990033"	10300
"Donkerbroek.Donkerbroek1"	"GrA-16239"	"bone"	"red deer"	"Donkerbroek"	"Epipalaeolithic"	"nd"	52.9906	6.2161	"14C"	10300	90	"Niekus 2005/2006"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	10300
"Dooey's Cairn.Dooey's Cairn"	"UB-2029"	"charcoal"	"nd"	"Dooey's Cairn"	"Neolithic"	"nd"	55.0017	-6.4042	"14C"	5670	50	"D021183"	"neolithic"	"charcoal"	-0.05	"#990033"	5300
"Dooey's Cairn.Dooey's Cairn1"	"UB-2045"	"charcoal"	"nd"	"Dooey's Cairn"	"Neolithic"	"nd"	55.0017	-6.4042	"14C"	5300	200	"D021183"	"neolithic"	"charcoal"	0.05	"#3058e5"	5670
"Dorchester.Dorchester"	"OxA-119 "	"bone"	"human"	"Dorchester"	"Neolithic"	"nd"	50.7	-2.4333	"14C"	5500	130	"?"	"neolithic"	"bone"	-0.05	"#990033"	5500
"Dorchester.Dorchester1"	"OxA-119 "	"bone"	"human"	"Dorchester"	"Neolithic"	"nd"	50.7	-2.4333	"14C"	5500	130	"?"	"neolithic"	"bone"	0.05	"#3058e5"	5500
"Dornburg.Dornburg"	"Bln-533"	"charcoal"	"nd"	"Dornburg"	"Bronze  Age"	"Schnurkeramik"	51.007	11.6638	"14C"	4610	150	"Berlin Date List IV"	"bronzeage"	"charcoal"	-0.05	"#990033"	4240
"Dornburg.Dornburg1"	"H-2123/1538"	"charcoal"	"nd"	"Dornburg"	"Bronze  Age"	"Schnurkeramik"	51.007	11.6638	"14C"	4240	100	"Berlin Date List IV"	"bronzeage"	"charcoal"	0.05	"#3058e5"	4610
"Dorset Cursus.Dorset Cursus"	"OxA-627"	"bone"	"nd"	"Dorset Cursus"	"Epipalaeolithic"	"nd"	50.933	-1.99	"14C"	7660	90	"CBA Radiocarbon Index"	"epipalaeolithic"	"bone"	-0.05	"#990033"	5140
"Dorset Cursus.Dorset Cursus1"	"BM-2438"	"antler"	"red deer"	"Dorset Cursus"	"Neolithic"	"nd"	50.933	-1.99	"14C"	5140	110	"British Museum XX, 187"	"neolithic"	"other"	0.05	"#3058e5"	7660
"Dosariyah.Dosariyah"	"GX-2818"	"shell"	"nd"	"Dosariyah"	"nd"	"Obeid 2"	26.94	49.71	"14C"	7770	300	"--"	"other"	"other"	-0.05	"#990033"	7010
"Dosariyah.Dosariyah1"	"I-5786"	"shell"	"nd"	"Dosariyah"	"nd"	"Obeid 3"	26.94	49.71	"14C"	7010	150	"--"	"other"	"other"	0.05	"#3058e5"	7770
"Douglasmuir.Douglasmuir"	"GU-1470"	"charcoal"	"nd"	"Douglasmuir"	"Neolithic"	"nd"	56.6233	-2.6242	"14C"	5650	140	"Ashmore, 2004"	"neolithic"	"charcoal"	-0.05	"#990033"	5590
"Douglasmuir.Douglasmuir1"	"GU-1210"	"charcoal"	"nd"	"Douglasmuir"	"Neolithic"	"nd"	56.6233	-2.6242	"14C"	5590	130	"Ashmore, 2004"	"neolithic"	"charcoal"	0.05	"#3058e5"	5650
"Dra Abu el Naga.Dra Abu el Naga"	"U-2498   "	"wood         "	"nd"	"Dra Abu el Naga"	"Dynasty XIX"	"Dra Abu el Naga, Tomb 283, Roma-Roy      "	23.7333	32.45	"14C"	3380	90	"Olsson(1979)605"	"egypt"	"other"	-0.05	"#990033"	2920
"Dra Abu el Naga.Dra Abu el Naga1"	"U-868    "	"reed         "	"nd"	"Dra Abu el Naga"	"Dynasty XIX"	"Dra Abu el Naga, Tomb 158, Tjanefer      "	23.7333	32.45	"14C"	2920	100	"Olsson(1979)605"	"egypt"	"other"	0.05	"#3058e5"	3380
"Dragby.Dragby"	"Ua-17949"	"bone"	"nd"	"Dragby"	"Neolithic"	"nd"	59.9833	17.55	"14C"	4090	150	"Kiel DB 2013"	"neolithic"	"bone"	-0.05	"#990033"	3380
"Dragby.Dragby1"	"St-700"	"charcoal"	"nd"	"Dragby"	"Neolithic"	"nd"	59.9833	17.55	"14C"	3380	100	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	4090
"Draguseni.Draguseni"	"Bln-1195"	"charcoal"	"nd"	"Draguseni"	"nd"	"Cucuteni"	46.916	27.5	"14C"	6190	120	"Laszlo 1997"	"other"	"charcoal"	-0.05	"#990033"	5720
"Draguseni.Draguseni1"	"Hd-14831"	"bone"	"nd"	"Draguseni"	"nd"	"Cucuteni"	46.916	27.5	"14C"	5720	50	"Laszlo 1997"	"other"	"bone"	0.05	"#3058e5"	6190
"Drama-Gerena.Drama-Gerena"	"Erl-12312"	"bos"	"animal"	"Drama-Gerena"	"Middle Neolithic"	"Karan III-IV"	42.2396	26.4355	"14C"	7380	50	"Gleser 2011"	"neolithic"	"other"	-0.05	"#990033"	7090
"Drama-Gerena.Drama-Gerena1"	"Bln-5113"	"bone"	"animal"	"Drama-Gerena"	"Middle Neolithic"	"Karan IV"	42.2396	26.4355	"14C"	7090	70	"Gleser 2011"	"neolithic"	"bone"	0.05	"#3058e5"	7380
"Drama-Merdzumekja.Drama-Merdzumekja"	"Erl-12301"	"bone"	"pig"	"Drama-Merdzumekja"	"nd"	"nd"	42.2386	26.4345	"14C"	6640	70	"Gleser 2011"	"other"	"bone"	-0.05	"#990033"	5250
"Drama-Merdzumekja.Drama-Merdzumekja1"	"Erl-14442"	"bone"	"animal"	"Drama-Merdzumekja"	"nd"	"Cernavoda III"	42.2386	26.4345	"14C"	5250	150	"Gleser 2011"	"other"	"bone"	0.05	"#3058e5"	6640
"Drayton Cursus.Drayton Cursus"	"OxA-2075"	"charcoal"	"Quercus"	"Drayton Cursus"	"Neolithic"	"nd"	51.644	-1.2918	"14C"	5710	100	"SU490943"	"neolithic"	"charcoal"	-0.05	"#990033"	4730
"Drayton Cursus.Drayton Cursus1"	"OxA-2076"	"charcoal"	"Quercus"	"Drayton Cursus"	"Neolithic"	"nd"	51.644	-1.2918	"14C"	4730	110	"SU490943"	"neolithic"	"charcoal"	0.05	"#3058e5"	5710
"Dresden-Nickern.Dresden-Nickern"	"Bln-73"	"peas"	"pisum-sativum"	"Dresden-Nickern"	"Neolithic"	"Linienbandkeramik"	50.9958	13.7889	"14C"	6800	120	"Breunig 125"	"neolithic"	"other"	-0.05	"#990033"	6620
"Dresden-Nickern.Dresden-Nickern1"	"Bln-77"	"organic temper"	"nd"	"Dresden-Nickern"	"Neolithic"	"Linienbandkeramik"	50.9958	13.7889	"14C"	6620	120	"Breunig 1987, 125"	"neolithic"	"other"	0.05	"#3058e5"	6800
"Dresden-Prohlis.Dresden-Prohlis"	"Bln-251"	"humic acids"	"nd"	"Dresden-Prohlis"	"Neolithic"	"Stichbandkeramik"	51.0073	13.7953	"14C"	7860	100	"Breunig 1987, 163"	"neolithic"	"other"	-0.05	"#990033"	7860
"Dresden-Prohlis.Dresden-Prohlis1"	"Bln-251"	"humic acids"	"nd"	"Dresden-Prohlis"	"Neolithic"	"Stichbandkeramik"	51.0073	13.7953	"14C"	7860	100	"Breunig 1987, 163"	"neolithic"	"other"	0.05	"#3058e5"	7860
"Dreuil-lès-Amiens.Dreuil-lès-Amiens"	"Gif-5973"	" nd"	"nd"	"Dreuil-lès-Amiens"	"nd"	"Maf Tcz"	49.9167	2.2333	"14C"	7470	180	""	"other"	"unknown"	-0.05	"#990033"	7470
"Dreuil-lès-Amiens.Dreuil-lès-Amiens1"	"Gif-5973"	" nd"	"nd"	"Dreuil-lès-Amiens"	"nd"	"Maf Tcz"	49.9167	2.2333	"14C"	7470	180	""	"other"	"unknown"	0.05	"#3058e5"	7470
"Drigge.Drigge"	"ZU-4093"	"bone"	"nd"	"Drigge"	"Meso/Neo"	"Ertebølle"	54.2908	13.1601	"14C"	7140	110	"Kiel DB 2300"	"other"	"bone"	-0.05	"#990033"	6940
"Drigge.Drigge1"	"UtC--6938"	"nd"	"nd"	"Drigge"	"Meso/Neo"	"Ertebølle"	54.2908	13.1601	"14C"	6940	90	"Kiel DB 2299"	"other"	"unknown"	0.05	"#3058e5"	7140
"Drosa, Küsterberg.Drosa, Küsterberg"	"KN-4892"	"bone"	"human"	"Drosa, Küsterberg"	"Bronze  Age"	"Schnurkeramik"	51.8167	4.1528	"14C"	4250	80	"Müller 1999, 82"	"bronzeage"	"bone"	-0.05	"#990033"	4220
"Drosa, Küsterberg.Drosa, Küsterberg1"	"Hd-18962?"	"bone"	"nd"	"Drosa, Küsterberg"	"Neolithic"	"Schönfeld"	51.8167	4.1528	"14C"	4220	50	"Müller 1999, 81"	"neolithic"	"bone"	0.05	"#3058e5"	4250
"Drottning Hackas.Drottning Hackas"	"St-6970"	"charcoal"	"nd"	"Drottning Hackas"	"Neolithic"	"nd"	57.7928	11.932	"14C"	4420	270	"Kiel DB 2013"	"neolithic"	"charcoal"	-0.05	"#990033"	4420
"Drottning Hackas.Drottning Hackas1"	"St-6970"	"charcoal"	"nd"	"Drottning Hackas"	"Neolithic"	"nd"	57.7928	11.932	"14C"	4420	270	"Kiel DB 2013"	"neolithic"	"charcoal"	0.05	"#3058e5"	4420
"Drouwenerzand I.Drouwenerzand I"	"GrN-6465"	"charcoal"	"nd"	"Drouwenerzand I"	"nd"	"nd"	52.9552	6.7894	"14C"	8830	110	"Lanting & van der Plicht 1997/1998"	"other"	"charcoal"	-0.05	"#990033"	8750
"Drouwenerzand I.Drouwenerzand I1"	"GrN-1513"	"charcoal"	"nd"	"Drouwenerzand I"	"nd"	"nd"	52.9552	6.7894	"14C"	8750	150	"Lanting & van der Plicht 1997/1998"	"other"	"charcoal"	0.05	"#3058e5"	8830
"Druimvargie.Druimvargie"	"OxA-4608"	"bone"	"nd"	"Druimvargie"	"nd"	"nd"	56.41	-5.4741	"14C"	9330	110	"Oxford Date List 26"	"other"	"bone"	-0.05	"#990033"	8640
"Druimvargie.Druimvargie1"	"OxA-1948"	"bone"	"nd"	"Druimvargie"	"Epipalaeolithic"	"nd"	56.41	-5.4741	"14C"	8640	140	"Ashmore, 2004"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	9330
"Duderstadt.Duderstadt"	"H-919/889"	"charcoal"	"nd"	"Duderstadt"	"Neolithic"	"Linienbandkeramik"	51.5167	10.2833	"14C"	7260	120	"Breunig 126"	"neolithic"	"charcoal"	-0.05	"#990033"	7240
"Duderstadt.Duderstadt1"	"KN-1263"	"charcoal"	"nd"	"Duderstadt"	"Neolithic"	"Linienbandkeramik"	51.5167	10.2833	"14C"	7240	60	"Breunig 126"	"neolithic"	"charcoal"	0.05	"#3058e5"	7260
"Dufaure.Dufaure"	"AA-2478"	"bine"	"nd"	"Dufaure"	"Palaeolithic"	"Azilian"	43.64	-1.31	"14C"	11240	130	"Les derniers chaseurs de renne du monde pyrénéen, 1995."	"palaeolithic"	"other"	-0.05	"#990033"	10970
"Dufaure.Dufaure1"	"Ly-4224"	"bone"	"nd"	"Dufaure"	"Palaeolithic"	"Azilian"	43.64	-1.31	"14C"	10970	420	"Les derniers chaseurs de renne du monde pyrénéen, 1995."	"palaeolithic"	"bone"	0.05	"#3058e5"	11240
"Duisburg-Kaiserberg.Duisburg-Kaiserberg"	"GrN-11265"	"charcoal"	"nd"	"Duisburg-Kaiserberg"	"Epipalaeolithic"	"Late Palaeolithic / earliest Mesolithic      Ahrensburg"	51.4333	6.75	"14C"	8810	140	""	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8810
"Duisburg-Kaiserberg.Duisburg-Kaiserberg1"	"GrN-11265"	"charcoal"	"nd"	"Duisburg-Kaiserberg"	"Epipalaeolithic"	"Late Palaeolithic / earliest Mesolithic      Ahrensburg"	51.4333	6.75	"14C"	8810	140	""	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8810
"Dümmer.Dümmer"	"KN-142"	"wood"	"nd"	"Dümmer"	"Neolithic"	"Bischheim"	52.5	1.2997	"14C"	6350	300	"Breunig 1987, 176"	"neolithic"	"other"	-0.05	"#990033"	5440
"Dümmer.Dümmer1"	"Hv-349"	"wood"	"nd"	"Dümmer"	"Neolithic"	"Bischheim"	52.5	1.2997	"14C"	5440	110	"Breunig 1987, 177"	"neolithic"	"other"	0.05	"#3058e5"	6350
"Dunford Bridge.Dunford Bridge"	"Q-799"	"wood"	"nd"	"Dunford Bridge"	"Epipalaeolithic"	"nd"	53.5053	-1.7934	"14C"	6150	110	"Cambridge XIII, 45"	"epipalaeolithic"	"other"	-0.05	"#990033"	6150
"Dunford Bridge.Dunford Bridge1"	"Q-799"	"wood"	"nd"	"Dunford Bridge"	"Epipalaeolithic"	"nd"	53.5053	-1.7934	"14C"	6150	110	"Cambridge XIII, 45"	"epipalaeolithic"	"other"	0.05	"#3058e5"	6150
"Dunloskin Wood.Dunloskin Wood"	"GU-2063"	"charcoal"	"nd"	"Dunloskin Wood"	"Neolithic"	"nd"	55.9645	-4.9387	"14C"	5400	190	"Ashmore, 2004"	"neolithic"	"charcoal"	-0.05	"#990033"	5400
"Dunloskin Wood.Dunloskin Wood1"	"GU-2063"	"charcoal"	"nd"	"Dunloskin Wood"	"Neolithic"	"nd"	55.9645	-4.9387	"14C"	5400	190	"Ashmore, 2004"	"neolithic"	"charcoal"	0.05	"#3058e5"	5400
"Duntreath.Duntreath"	"GX-2781"	"charcoal"	"nd"	"Duntreath"	"Neolithic"	"nd"	55.997	-4.3528	"14C"	5470	460	"Ashmore, 2004"	"neolithic"	"charcoal"	-0.05	"#990033"	5470
"Duntreath.Duntreath1"	"GX-2781"	"charcoal"	"nd"	"Duntreath"	"Neolithic"	"nd"	55.997	-4.3528	"14C"	5470	460	"Ashmore, 2004"	"neolithic"	"charcoal"	0.05	"#3058e5"	5470
"Durankulak.Durankulak"	"Bln-2122"	"charcoal"	"nd"	"Durankulak"	"Chalcolithic"	"Late Eneolithic"	43.5947	28.5713	"14C"	6500	70	"Görsdorf 1996"	"chalcolithic"	"charcoal"	-0.05	"#990033"	2970
"Durankulak.Durankulak1"	"Bln-2569"	"charcoal"	"nd"	"Durankulak"	"Bronze Age"	"Late Bronze Age"	43.5947	28.5713	"14C"	2970	70	"Görsdorf 1996"	"bronzeage"	"charcoal"	0.05	"#3058e5"	6500
"Durchhorn.Durchhorn"	"GrN-10540"	"nd"	"nd"	"Durchhorn"	"Epipalaeolithic"	"nd"	52.565	7.8771	"14C"	8830	120	"Kiel DB 2305"	"epipalaeolithic"	"unknown"	-0.05	"#990033"	8830
"Durchhorn.Durchhorn1"	"GrN-10540"	"nd"	"nd"	"Durchhorn"	"Epipalaeolithic"	"nd"	52.565	7.8771	"14C"	8830	120	"Kiel DB 2305"	"epipalaeolithic"	"unknown"	0.05	"#3058e5"	8830
"Durif.Durif"	"Ly-2047"	"charcoal"	"nd"	"Durif"	"Palaeolithic"	"Magdalenian"	45.6333	3.25	"14C"	7260	360	"Fontana L. et al. 2000. In SFP mémoire 28: 59-65."	"palaeolithic"	"charcoal"	-0.05	"#990033"	7260
"Durif.Durif1"	"Ly-2047"	"charcoal"	"nd"	"Durif"	"Palaeolithic"	"Magdalenian"	45.6333	3.25	"14C"	7260	360	"Fontana L. et al. 2000. In SFP mémoire 28: 59-65."	"palaeolithic"	"charcoal"	0.05	"#3058e5"	7260
"Dürrenberg.Dürrenberg"	"OxA-3136"	"bone"	"nd"	"Dürrenberg"	"Epipalaeolithic"	"nd"	51.3667	13.1667	"14C"	8790	140	"Oxford Date List 16"	"epipalaeolithic"	"bone"	-0.05	"#990033"	8790
"Dürrenberg.Dürrenberg1"	"OxA-3136"	"bone"	"nd"	"Dürrenberg"	"Epipalaeolithic"	"nd"	51.3667	13.1667	"14C"	8790	140	"Oxford Date List 16"	"epipalaeolithic"	"bone"	0.05	"#3058e5"	8790
"Duurswoude.Duurswoude"	"GrN-1505"	" nd"	"nd"	"Duurswoude"	"nd"	"nd"	53.0812	6.2361	"14C"	8650	170	"Lanting & van der Plicht 1997/1998"	"other"	"unknown"	-0.05	"#990033"	8530
"Duurswoude.Duurswoude1"	"GrN-1508"	" nd"	"nd"	"Duurswoude"	"nd"	"nd"	53.0812	6.2361	"14C"	8530	100	"Lanting & van der Plicht 1997/1998"	"other"	"unknown"	0.05	"#3058e5"	8650
"Duurswoude I .Duurswoude I "	"GrN-1173"	"charcoal"	"nd"	"Duurswoude I "	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8500	90	"Groningen IV, 169"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8500
"Duurswoude I .Duurswoude I 1"	"GrN-1173"	"charcoal"	"nd"	"Duurswoude I "	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8500	90	"Groningen IV, 169"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8500
"Duurswoude IIA.Duurswoude IIA"	"GrN-1567"	"charcoal"	"nd"	"Duurswoude IIA"	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8490	60	"Groningen IV, 169"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8490
"Duurswoude IIA.Duurswoude IIA1"	"GrN-1567"	"charcoal"	"nd"	"Duurswoude IIA"	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8490	60	"Groningen IV, 169"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8490
"Duurswoude III .Duurswoude III "	"GrN-1175"	"charcoal"	"nd"	"Duurswoude III "	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8500	60	"Groningen IV, 169"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8500
"Duurswoude III .Duurswoude III 1"	"GrN-1175"	"charcoal"	"nd"	"Duurswoude III "	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8500	60	"Groningen IV, 169"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8500
"Duurswoude-Oud Leger.Duurswoude-Oud Leger"	"GrN-615"	"charcoal"	"nd"	"Duurswoude-Oud Leger"	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8250	120	"Lanting/vanderPlicht 1997/1998"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	8250
"Duurswoude-Oud Leger.Duurswoude-Oud Leger1"	"GrN-615"	"charcoal"	"nd"	"Duurswoude-Oud Leger"	"Epipalaeolithic"	"nd"	53.0519	6.25	"14C"	8250	120	"Lanting/vanderPlicht 1997/1998"	"epipalaeolithic"	"charcoal"	0.05	"#3058e5"	8250
"Duvensee.Duvensee"	"Ki-1818"	"charcoal"	"hazelnut"	"Duvensee"	"Epipalaeolithic"	"nd"	53.6833	10.5333	"14C"	10970	170	"Holst 2010"	"epipalaeolithic"	"charcoal"	-0.05	"#990033"	4670
"Duvensee.Duvensee1"	"OxA-5122"	"seed"	"hazelnut"	"Duvensee"	"Epipalaeolithic"	"nd"	53.6833	10.5333	"14C"	4670	110	"Oxford Date List 21"	"epipalaeolithic"	"other"	0.05	"#3058e5"	10970
"Dyadovo 10.Dyadovo 10"	"GaK-20467"	"charcoal"	"nd"	"Dyadovo 10"	"Bronze Age"	"Karan VII"	42.4333	26.0166	"14C"	5190	190	"Nikolova & Görsdorf 2002"	"bronzeage"	"charcoal"	-0.05	"#990033"	4940
"Dyadovo 10.Dyadovo 101"	"GaK-20465"	"charcoal"	"nd"	"Dyadovo 10"	"Bronze Age"	"Karan VII"	42.4333	26.0166	"14C"	4940	80	"Nikolova & Görsdorf 2002"	"bronzeage"	"charcoal"	0.05	"#3058e5"	5190
"Dynasty XII.Dynasty XII"	"A-433"	"wood"	"nd"	"Dynasty XII"	"Bronze  Age"	"Semna"	21.4833	30.9666	"14C"	4000	90	"Barker and Mackey 1963, 105"	"bronzeage"	"other"	-0.05	"#990033"	4000
"Dynasty XII.Dynasty XII1"	"A-433"	"wood"	"nd"	"Dynasty XII"	"Bronze  Age"	"Semna"	21.4833	30.9666	"14C"	4000	90	"Barker and Mackey 1963, 105"	"bronzeage"	"other"	0.05	"#3058e5"	4000
